t_ueV,J_numerical_ueV,J_analytical_ueV,Error_percent
5.0,0.031249694830621545,0.03125000000000001,0.0009765420110774412
6.4646464646464645,0.05223871461540897,0.05223956739108254,0.0016324324954405888
7.929292929292928,0.07859017781789313,0.07859210794816854,0.0024558830724906717
9.393939393939393,0.11030381950503323,0.110307621671258,0.003446875353816061
10.858585858585856,0.14737932085243532,0.14738610856035092,0.004605391906942137
12.323232323232322,0.189816309167771,0.18982756861544736,0.005931408044931177
13.787878787878785,0.23761435790422158,0.23763200183654717,0.007424897399856808
15.25252525252525,0.2907729866830295,0.2907994082236505,0.009085830257510743
16.717171717171713,0.34929166131951894,0.3493297877767574,0.010914172959909756
18.18181818181818,0.41316979384651514,0.4132231404958676,0.012909889143297831
19.646464646464644,0.48240674254860455,0.4824794663809813,0.015072938320519178
21.111111111111107,0.5570018119894571,0.5570987654320985,0.017403277238674086
22.57575757575757,0.6369542530486891,0.6370810376492192,0.019900859237293674
24.040404040404034,0.7222632629634964,0.7224262830323434,0.02256563370904425
25.5050505050505,0.8129279853603131,0.8131345015814709,0.025397547485219833
26.969696969696965,0.908947510304685,0.909205693296602,0.02839654368867975
28.43434343434343,1.0103208743437704,1.0106398581777365,0.031562562210960717
29.898989898989893,1.1170470605583815,1.1174369962248747,0.03489553932888357
31.363636363636356,1.2291249986059192,1.229597107438016,0.03839540848307639
32.82828282828282,1.3465535647841234,1.3471201918171611,0.04206209931969358
34.29292929292929,1.4693315820813813,1.4700062493623092,0.045895538282274745
35.75757575757575,1.597457820233972,1.5982552800734608,0.04989564867586196
37.222222222222214,1.7309309957906855,1.7318672839506164,0.05406235042416516
38.686868686868685,1.869749772177875,1.8708422609937756,0.058395560046852674
40.15151515151514,2.0139127597636413,2.0151802112029378,0.06289519082464236
41.616161616161605,2.163418515929391,2.164881134578103,0.06756115268182478
43.080808080808076,2.318265545138789,2.319945031119272,0.07239335234046027
44.54545454545454,2.478452299014525,2.4803719008264458,0.07739169320863316
46.010101010101,2.6439771764150697,2.646161743699621,0.08255607540819698
47.47474747474746,2.814838523515777,2.8173145597388003,0.08788639573328125
48.93939393939393,2.991034633886944,2.9938303489439844,0.09338254781292818
50.404040404040394,3.172563748584886,3.1757091113151708,0.09904442189235241
51.86868686868686,3.3594240562304307,3.3629508468523603,0.10487190513743638
53.33333333333332,3.551613693109968,3.5555555555555536,0.11086488128208845
54.797979797979785,3.7491307432587155,3.753523237424751,0.11702323092713865
56.262626262626256,3.9519732385608988,3.956853892459952,0.12334683138928969
57.72727272727272,4.160139158841691,4.165547520661155,0.12983555685390027
59.191919191919176,4.373626431976502,4.379604122028362,0.13648927814715997
60.65656565656565,4.59243293398292,4.599023696561574,0.143307863005385
62.12121212121211,4.816556489131728,4.823806244260789,0.1502911759295055
63.585858585858574,5.045994870054465,5.053951765126006,0.15743907819710132
65.05050505050504,5.280745797850103,5.289460259157226,0.16475142793703457
66.5151515151515,5.520806942200846,5.530331726354451,0.17222808006643187
67.97979797979797,5.766175921480981,5.77656616671768,0.17986888640805415
69.44444444444443,6.016850302882648,6.028163580246911,0.1876736955402938
70.90909090909089,6.27282760252599,6.285123966942145,0.1956423529723422
72.37373737373737,6.534105285589264,6.547447326803385,0.20377470101215048
73.83838383838383,6.800680766428963,6.815133659830627,0.21207057884794742
75.30303030303028,7.072551408701687,7.088182966023871,0.22052982262325063
76.76767676767675,7.349714525506389,7.366595245383121,0.22915226525187046
78.23232323232321,7.632167379499296,7.650370497908372,0.2379377366632484
79.69696969696969,7.919907183040497,7.939508723599629,0.24688606362844753
81.16161616161615,8.21293109832318,8.234009922456888,0.25599706986287596
82.6262626262626,8.511236237514577,8.53387409448015,0.26527057600036735
84.09090909090908,8.814819662891273,8.839101239669418,0.2747063996639278
85.55555555555554,9.123678386990992,9.149691358024688,0.28430435536911614
87.020202020202,9.437809372747479,9.465644449545962,0.29406425465113245
88.48484848484847,9.75720953364401,9.786960514233234,0.30398590600173525
89.94949494949492,10.081875733864331,10.113639552086516,0.31406911486806727
91.4141414141414,10.411804788433153,10.4456815631058,0.32431368377435604
92.87878787878786,10.74699346338443,10.783086547291088,0.33471941218654055
94.34343434343432,11.087438475905335,11.125854504642376,0.34528609664104
95.8080808080808,11.433136494502804,11.473985435159674,0.3560135306752
97.27272727272725,11.784084139155313,11.827479338842972,0.3669015049144348
98.73737373737372,12.140277981483754,12.18633621569227,0.377949807007681
100.20202020202018,12.50171454490669,12.550556065707575,0.3891582217168556
101.66666666666664,12.8683903048147,12.92013888888888,0.4005265308617069
103.13131313131312,13.240301688733432,13.295084685236196,0.412054513376655
104.59595959595957,13.617445076496223,13.675393454749509,0.4237419453051311
106.06060606060603,13.999816800414955,14.061065197428826,0.4355885998243665
107.52525252525251,14.387413145456144,14.452099913274152,0.44759424724564745
108.98989898989898,14.780230349416128,14.848497602285475,0.45975865503618124
110.45454545454544,15.178264603099763,15.250258264462802,0.4720815878299217
111.91919191919189,15.581512050500388,15.657381899806134,0.48456280744283303
113.38383838383835,15.989968788980677,16.06986850831547,0.49720207289466756
114.84848484848483,16.403630869459114,16.48771808999081,0.509999140407083
116.3131313131313,16.82249429659519,16.910930644832153,0.5229537634227706
117.77777777777776,17.246555028975422,17.339506172839496,0.536065692630116
119.24242424242422,17.67580897930215,17.77344467401285,0.5493346759812768
120.70707070707068,18.110252014592138,18.212746148352203,0.562760458665579
122.17171717171716,18.549879956358513,18.65741059585756,0.5763427831883645
123.63636363636361,18.99468858081589,19.107438016528917,0.5900813893285607
125.10101010101009,19.444673619069135,19.562828410366283,0.6039760141970963
126.56565656565655,19.89983075731676,20.023581777369653,0.6180263922249644
128.030303030303,20.36015563704923,20.489698117539014,0.6322322551882708
129.49494949494948,20.82564385525365,20.961177430874393,0.6465933322100158
130.95959595959596,21.296290964610662,21.438019717375774,0.6611093498073348
132.4242424242424,21.772092473704348,21.92022497704315,0.6757800318835309
133.88888888888889,22.253043847230607,22.407793209876537,0.6906050997370062
135.35353535353536,22.73914050620121,22.90072441587593,0.7055842720971023
136.81818181818178,23.230377828153806,23.399018595041312,0.7207172651388226
138.28282828282826,23.72675114736963,23.902675747372708,0.7360037924725457
139.74747474747474,24.228255755077978,24.411695872870112,0.75144356519696
141.2121212121212,24.734886899677285,24.926078971533506,0.767036291887584
142.67676767676767,25.246639786946982,25.44582504336292,0.7827816786309751
144.14141414141412,25.76350958026746,25.97093408835832,0.7986794290307769
145.6060606060606,26.28549140083671,26.501406106519735,0.814729244233968
147.07070707070707,26.81258032789682,27.037241097847154,0.8309308229241688
148.53535353535352,27.344771398947216,27.578439062340568,0.8472838613713775
150.0,27.882059609970295,28.124999999999993,0.8637880534389273
